Linha;Faixa_Horaria;Executado;Programado;tipo_dia;% Execução;Núcleo
108;03/jun;14;0;;0.0;Gentileza
108;06/set;35;0;;0.0;Gentileza
108;09/dez;33;0;;0.0;Gentileza
108;dez/15;28;0;;0.0;Gentileza
108;15-18;30;35;Dia Útil;85.7;Gentileza
108;18-21;30;35;Dia Útil;85.7;Gentileza
108;21-00;8;11;Dia Útil;72.7;Gentileza
110;03/jun;14;0;;0.0;Gentileza
110;06/set;43;0;;0.0;Gentileza
110;09/dez;32;0;;0.0;Gentileza
110;dez/15;30;0;;0.0;Gentileza
110;15-18;26;40;Dia Útil;65.0;Gentileza
110;18-21;31;36;Dia Útil;86.1;Gentileza
110;21-00;8;4;Dia Útil;200.0;Gentileza
112;03/jun;12;0;;0.0;Gentileza
112;06/set;34;0;;0.0;Gentileza
112;09/dez;27;0;;0.0;Gentileza
112;dez/15;28;0;;0.0;Gentileza
112;15-18;31;36;Dia Útil;86.1;Gentileza
112;18-21;22;26;Dia Útil;84.6;Gentileza
112;21-00;8;7;Dia Útil;114.3;Gentileza
163;03/jun;8;0;;0.0;Gentileza
163;06/set;18;0;;0.0;Gentileza
163;09/dez;14;0;;0.0;Gentileza
163;dez/15;16;0;;0.0;Gentileza
163;15-18;16;20;Dia Útil;80.0;Gentileza
163;18-21;18;20;Dia Útil;90.0;Gentileza
163;21-00;5;10;Dia Útil;50.0;Gentileza
222;03/jun;1;0;;0.0;Gentileza
222;06/set;4;0;;0.0;Gentileza
222;09/dez;3;0;;0.0;Gentileza
222;dez/15;3;0;;0.0;Gentileza
222;15-18;4;5;Dia Útil;80.0;Gentileza
222;18-21;4;4;Dia Útil;100.0;Gentileza
222;21-00;1;1;Dia Útil;100.0;Gentileza
309;03/jun;32;0;;0.0;Central
309;06/set;63;0;;0.0;Central
309;09/dez;54;0;;0.0;Central
309;dez/15;42;0;;0.0;Central
309;15-18;55;63;Dia Útil;87.3;Central
309;18-21;51;60;Dia Útil;85.0;Central
309;21-00;8;10;Dia Útil;80.0;Central
315;03/jun;18;0;;0.0;Central
315;06/set;28;0;;0.0;Central
315;09/dez;22;0;;0.0;Central
315;dez/15;20;0;;0.0;Central
315;15-18;19;29;Dia Útil;65.5;Central
315;18-21;17;27;Dia Útil;63.0;Central
315;21-00;6;16;Dia Útil;37.5;Central
444;03/jun;1;0;;0.0;Gentileza
460;03/jun;41;0;;0.0;São Cristóvão
460;06/set;73;0;;0.0;São Cristóvão
460;09/dez;56;0;;0.0;São Cristóvão
460;dez/15;58;0;;0.0;São Cristóvão
460;15-18;63;76;Dia Útil;82.9;São Cristóvão
460;18-21;66;72;Dia Útil;91.7;São Cristóvão
460;21-00;12;10;Dia Útil;120.0;São Cristóvão
463;03/jun;22;0;;0.0;São Cristóvão
463;06/set;50;0;;0.0;São Cristóvão
463;09/dez;27;0;;0.0;São Cristóvão
463;dez/15;22;0;;0.0;São Cristóvão
463;15-18;22;41;Dia Útil;53.7;São Cristóvão
463;18-21;27;33;Dia Útil;81.8;São Cristóvão
463;21-00;4;0;Dia Útil;0.0;São Cristóvão
538;03/jun;4;0;;0.0;Central
538;06/set;11;0;;0.0;Central
538;09/dez;10;0;;0.0;Central
538;dez/15;8;0;;0.0;Central
538;15-18;9;13;Dia Útil;69.2;Central
538;18-21;10;14;Dia Útil;71.4;Central
538;21-00;4;2;Dia Útil;200.0;Central
SN309;00-03;20;19;Dia Útil;105.3;Central
SN309;03/jun;9;0;;0.0;Central
SN309;18-21;3;3;Dia Útil;100.0;Central
SN309;21-00;3;21;Dia Útil;14.3;Central
SN538;00-03;7;6;Dia Útil;116.7;Central
SN538;03/jun;3;0;;0.0;Central
SP315;03/jun;3;0;;0.0;Central
SP315;06/set;2;0;;0.0;Central
SV112;03/jun;7;0;;0.0;Gentileza
SV112;06/set;27;0;;0.0;Gentileza
SV112;09/dez;16;0;;0.0;Gentileza
SV112;dez/15;17;0;;0.0;Gentileza
SV112;15-18;16;18;Dia Útil;88.9;Gentileza
SV112;18-21;17;20;Dia Útil;85.0;Gentileza
SV112;21-00;5;4;Dia Útil;125.0;Gentileza
