Linha;Viagens Programadas;Tipo Linha;Tipo Dia;Tipo de Programação;Faixa
100;32;Linha;Dia Útil;100% SMTR;dez/15
100;15;Linha;Dia Útil;100% SMTR;03/jun
100;33;Linha;Dia Útil;100% SMTR;06/set
100;33;Linha;Dia Útil;100% SMTR;09/dez
100;0;Linha;Dia Útil;100% SMTR;00-03
100;33;Linha;Dia Útil;100% SMTR;15-18
100;22;Linha;Dia Útil;100% SMTR;18-21
100;4;Linha;Dia Útil;100% SMTR;21-00
105;4;Linha;Dia Útil;100% SMTR;dez/15
105;0;Linha;Dia Útil;100% SMTR;03/jun
105;3;Linha;Dia Útil;100% SMTR;06/set
105;3;Linha;Dia Útil;100% SMTR;09/dez
105;0;Linha;Dia Útil;100% SMTR;00-03
105;3;Linha;Dia Útil;100% SMTR;15-18
105;1;Linha;Dia Útil;100% SMTR;18-21
105;0;Linha;Dia Útil;100% SMTR;21-00
108;32;Linha;Dia Útil;100% SMTR;dez/15
108;15;Linha;Dia Útil;100% SMTR;03/jun
108;42;Linha;Dia Útil;100% SMTR;06/set
108;37;Linha;Dia Útil;100% SMTR;09/dez
108;0;Linha;Dia Útil;100% SMTR;00-03
108;35;Linha;Dia Útil;100% SMTR;15-18
108;35;Linha;Dia Útil;100% SMTR;18-21
108;11;Linha;Dia Útil;100% SMTR;21-00
110;35;Linha;Dia Útil;100% SMTR;dez/15
110;16;Linha;Dia Útil;100% SMTR;03/jun
110;52;Linha;Dia Útil;100% SMTR;06/set
110;35;Linha;Dia Útil;100% SMTR;09/dez
110;0;Linha;Dia Útil;100% SMTR;00-03
110;40;Linha;Dia Útil;100% SMTR;15-18
110;36;Linha;Dia Útil;100% SMTR;18-21
110;4;Linha;Dia Útil;100% SMTR;21-00
112;33;Linha;Dia Útil;100% SMTR;dez/15
112;11;Linha;Dia Útil;100% SMTR;03/jun
112;35;Linha;Dia Útil;100% SMTR;06/set
112;32;Linha;Dia Útil;100% SMTR;09/dez
112;0;Linha;Dia Útil;100% SMTR;00-03
112;36;Linha;Dia Útil;100% SMTR;15-18
112;26;Linha;Dia Útil;100% SMTR;18-21
112;7;Linha;Dia Útil;100% SMTR;21-00
163;16;Linha;Dia Útil;100% SMTR;dez/15
163;8;Linha;Dia Útil;100% SMTR;03/jun
163;20;Linha;Dia Útil;100% SMTR;06/set
163;16;Linha;Dia Útil;100% SMTR;09/dez
163;0;Linha;Dia Útil;100% SMTR;00-03
163;20;Linha;Dia Útil;100% SMTR;15-18
163;20;Linha;Dia Útil;100% SMTR;18-21
163;10;Linha;Dia Útil;100% SMTR;21-00
181;0;Serviço;Dia Útil;100% SMTR;dez/15
181;1;Serviço;Dia Útil;100% SMTR;03/jun
181;3;Serviço;Dia Útil;100% SMTR;06/set
181;0;Serviço;Dia Útil;100% SMTR;09/dez
181;0;Serviço;Dia Útil;100% SMTR;00-03
181;0;Serviço;Dia Útil;100% SMTR;15-18
181;0;Serviço;Dia Útil;100% SMTR;18-21
181;0;Serviço;Dia Útil;100% SMTR;21-00
222;3;Linha;Dia Útil;100% SMTR;dez/15
222;1;Linha;Dia Útil;100% SMTR;03/jun
222;5;Linha;Dia Útil;100% SMTR;06/set
222;4;Linha;Dia Útil;100% SMTR;09/dez
222;0;Linha;Dia Útil;100% SMTR;00-03
222;5;Linha;Dia Útil;100% SMTR;15-18
222;4;Linha;Dia Útil;100% SMTR;18-21
222;1;Linha;Dia Útil;100% SMTR;21-00
309;46;Linha;Dia Útil;100% SMTR;dez/15
