Linha;Viagens Programadas;Tipo Linha;Tipo Dia;Tipo de Programação;Faixa
100;0;Linha;Facultativo;100% SMTR;00-03
105;0;Linha;Facultativo;100% SMTR;00-03
108;0;Linha;Facultativo;100% SMTR;00-03
110;0;Linha;Facultativo;100% SMTR;00-03
112;0;Linha;Facultativo;100% SMTR;00-03
163;0;Linha;Facultativo;100% SMTR;00-03
LECD110;0;Linha;Facultativo;100% SMTR;00-03
181;0;Serviço;Facultativo;100% SMTR;00-03
309;0;Linha;Facultativo;100% SMTR;00-03
315;0;Linha;Facultativo;100% SMTR;00-03
440;0;Serviço;Facultativo;100% SMTR;00-03
443;0;Serviço;Facultativo;100% SMTR;00-03
444;0;Serviço;Facultativo;100% SMTR;00-03
460;0;Linha;Facultativo;100% SMTR;00-03
463;0;Linha;Facultativo;100% SMTR;00-03
472;1;Linha;Facultativo;100% SMTR;00-03
538;0;Linha;Facultativo;100% SMTR;00-03
553;1;Linha;Facultativo;100% SMTR;00-03
955;0;Serviço;Facultativo;100% SMTR;00-03
957;0;Serviço;Facultativo;100% SMTR;00-03
222;0;Linha;Facultativo;100% SMTR;00-03
585;0;Linha;Facultativo;100% SMTR;00-03
SN309;19;Linha;Facultativo;100% SMTR;00-03
SN538;6;Linha;Facultativo;100% SMTR;00-03
SP309;0;Serviço;Facultativo;100% SMTR;00-03
SP315;0;Serviço;Facultativo;100% SMTR;00-03
SP553;0;Serviço;Facultativo;100% SMTR;00-03
SV112;0;Linha;Facultativo;100% SMTR;00-03
100;10;Linha;Facultativo;100% SMTR;03-06
105;2;Linha;Facultativo;100% SMTR;03-06
108;11;Linha;Facultativo;100% SMTR;03-06
110;11;Linha;Facultativo;100% SMTR;03-06
112;10;Linha;Facultativo;100% SMTR;03-06
163;4;Linha;Facultativo;100% SMTR;03-06
LECD110;1;Linha;Facultativo;100% SMTR;03-06
181;1;Serviço;Facultativo;100% SMTR;03-06
309;24;Linha;Facultativo;100% SMTR;03-06
315;19;Linha;Facultativo;100% SMTR;03-06
440;0;Serviço;Facultativo;100% SMTR;03-06
443;2;Serviço;Facultativo;100% SMTR;03-06
444;1;Serviço;Facultativo;100% SMTR;03-06
460;16;Linha;Facultativo;100% SMTR;03-06
463;15;Linha;Facultativo;100% SMTR;03-06
472;1;Linha;Facultativo;100% SMTR;03-06
538;4;Linha;Facultativo;100% SMTR;03-06
553;3;Linha;Facultativo;100% SMTR;03-06
955;1;Serviço;Facultativo;100% SMTR;03-06
957;1;Serviço;Facultativo;100% SMTR;03-06
222;1;Linha;Facultativo;100% SMTR;03-06
585;1;Linha;Facultativo;100% SMTR;03-06
SN309;9;Linha;Facultativo;100% SMTR;03-06
SN538;3;Linha;Facultativo;100% SMTR;03-06
SP309;0;Serviço;Facultativo;100% SMTR;03-06
SP315;4;Serviço;Facultativo;100% SMTR;03-06
SP553;0;Serviço;Facultativo;100% SMTR;03-06
SV112;7;Linha;Facultativo;100% SMTR;03-06
100;21;Linha;Facultativo;100% SMTR;06-09
105;2;Linha;Facultativo;100% SMTR;06-09
108;27;Linha;Facultativo;100% SMTR;06-09
110;33;Linha;Facultativo;100% SMTR;06-09
112;38;Linha;Facultativo;100% SMTR;06-09
163;20;Linha;Facultativo;100% SMTR;06-09
LECD110;4;Linha;Facultativo;100% SMTR;06-09
181;2;Serviço;Facultativo;100% SMTR;06-09
309;46;Linha;Facultativo;100% SMTR;06-09
315;31;Linha;Facultativo;100% SMTR;06-09
440;1;Serviço;Facultativo;100% SMTR;06-09
443;1;Serviço;Facultativo;100% SMTR;06-09
444;0;Serviço;Facultativo;100% SMTR;06-09
460;30;Linha;Facultativo;100% SMTR;06-09
463;38;Linha;Facultativo;100% SMTR;06-09
472;2;Linha;Facultativo;100% SMTR;06-09
538;16;Linha;Facultativo;100% SMTR;06-09
553;4;Linha;Facultativo;100% SMTR;06-09
955;0;Serviço;Facultativo;100% SMTR;06-09
957;0;Serviço;Facultativo;100% SMTR;06-09
222;3;Linha;Facultativo;100% SMTR;06-09
585;2;Linha;Facultativo;100% SMTR;06-09
SN309;0;Linha;Facultativo;100% SMTR;06-09
SN538;0;Linha;Facultativo;100% SMTR;06-09
SP309;3;Serviço;Facultativo;100% SMTR;06-09
SP315;7;Serviço;Facultativo;100% SMTR;06-09
SP553;4;Serviço;Facultativo;100% SMTR;06-09
SV112;23;Linha;Facultativo;100% SMTR;06-09
100;21;Linha;Facultativo;100% SMTR;09-12
105;0;Linha;Facultativo;100% SMTR;09-12
108;24;Linha;Facultativo;100% SMTR;09-12
110;22;Linha;Facultativo;100% SMTR;09-12
112;26;Linha;Facultativo;100% SMTR;09-12
163;12;Linha;Facultativo;100% SMTR;09-12
LECD110;3;Linha;Facultativo;100% SMTR;09-12
181;0;Serviço;Facultativo;100% SMTR;09-12
309;36;Linha;Facultativo;100% SMTR;09-12
315;19;Linha;Facultativo;100% SMTR;09-12
440;0;Serviço;Facultativo;100% SMTR;09-12
443;0;Serviço;Facultativo;100% SMTR;09-12
444;0;Serviço;Facultativo;100% SMTR;09-12
460;24;Linha;Facultativo;100% SMTR;09-12
463;19;Linha;Facultativo;100% SMTR;09-12
472;2;Linha;Facultativo;100% SMTR;09-12
538;11;Linha;Facultativo;100% SMTR;09-12
553;4;Linha;Facultativo;100% SMTR;09-12
955;0;Serviço;Facultativo;100% SMTR;09-12
957;0;Serviço;Facultativo;100% SMTR;09-12
222;3;Linha;Facultativo;100% SMTR;09-12
585;2;Linha;Facultativo;100% SMTR;09-12
SN309;0;Linha;Facultativo;100% SMTR;09-12
SN538;0;Linha;Facultativo;100% SMTR;09-12
SP309;0;Serviço;Facultativo;100% SMTR;09-12
