Linha;Viagens Programadas;Tipo Linha;Tipo Dia;Tipo de Programação;Faixa
100;0,0;Linha;Domingo;100% SMTR;00-03
108;0,0;Linha;Domingo;100% SMTR;00-03
110;0,0;Linha;Domingo;100% SMTR;00-03
112;0,0;Linha;Domingo;100% SMTR;00-03
163;0,0;Linha;Domingo;100% SMTR;00-03
LECD110;0,0;Linha;Domingo;100% SMTR;00-03
309;0,0;Linha;Domingo;100% SMTR;00-03
315;0,0;Linha;Domingo;100% SMTR;00-03
460;0,0;Linha;Domingo;100% SMTR;00-03
463;0,0;Linha;Domingo;100% SMTR;00-03
472;0,0;Linha;Domingo;100% SMTR;00-03
538;0,0;Linha;Domingo;100% SMTR;00-03
553;0,0;Linha;Domingo;100% SMTR;00-03
222;0,0;Linha;Domingo;100% SMTR;00-03
SN309;19,0;Linha;Domingo;100% SMTR;00-03
SN538;6,0;Linha;Domingo;100% SMTR;00-03
100;8,0;Linha;Domingo;100% SMTR;03-06
108;8,0;Linha;Domingo;100% SMTR;03-06
110;8,0;Linha;Domingo;100% SMTR;03-06
112;5,0;Linha;Domingo;100% SMTR;03-06
163;4,0;Linha;Domingo;100% SMTR;03-06
LECD110;1,0;Linha;Domingo;100% SMTR;03-06
309;14,0;Linha;Domingo;100% SMTR;03-06
315;8,0;Linha;Domingo;100% SMTR;03-06
460;28,0;Linha;Domingo;100% SMTR;03-06
463;11,0;Linha;Domingo;100% SMTR;03-06
472;1,0;Linha;Domingo;100% SMTR;03-06
538;3,0;Linha;Domingo;100% SMTR;03-06
553;2,0;Linha;Domingo;100% SMTR;03-06
222;1,0;Linha;Domingo;100% SMTR;03-06
SN309;9,0;Linha;Domingo;100% SMTR;03-06
SN538;3,0;Linha;Domingo;100% SMTR;03-06
100;16,0;Linha;Domingo;100% SMTR;06-09
108;36,0;Linha;Domingo;100% SMTR;06-09
110;27,0;Linha;Domingo;100% SMTR;06-09
112;17,0;Linha;Domingo;100% SMTR;06-09
163;10,0;Linha;Domingo;100% SMTR;06-09
LECD110;2,0;Linha;Domingo;100% SMTR;06-09
309;28,0;Linha;Domingo;100% SMTR;06-09
315;23,0;Linha;Domingo;100% SMTR;06-09
460;62,0;Linha;Domingo;100% SMTR;06-09
463;25,0;Linha;Domingo;100% SMTR;06-09
472;2,0;Linha;Domingo;100% SMTR;06-09
538;12,0;Linha;Domingo;100% SMTR;06-09
