Data;Linha;Veículo;Início da Viagem;Término da Viagem;Núcleo;hora_viagem;_key;Faixa_Horaria;hora_inicio;hora_fim
28/05/2025;108;A41057;2025-05-28 10:07:33;2025-05-28 11:20:51;Gentileza;10:07:33;1;00-03;00:00:00;02:59:59
28/05/2025;108;A41057;2025-05-28 10:07:33;2025-05-28 11:20:51;Gentileza;10:07:33;1;03-06;03:00:00;05:59:59
28/05/2025;108;A41057;2025-05-28 10:07:33;2025-05-28 11:20:51;Gentileza;10:07:33;1;06-09;06:00:00;08:59:59
28/05/2025;108;A41057;2025-05-28 10:07:33;2025-05-28 11:20:51;Gentileza;10:07:33;1;09-12;09:00:00;11:59:59
28/05/2025;108;A41057;2025-05-28 10:07:33;2025-05-28 11:20:51;Gentileza;10:07:33;1;12-15;12:00:00;14:59:59
28/05/2025;108;A41057;2025-05-28 10:07:33;2025-05-28 11:20:51;Gentileza;10:07:33;1;15-18;15:00:00;17:59:59
28/05/2025;108;A41057;2025-05-28 10:07:33;2025-05-28 11:20:51;Gentileza;10:07:33;1;18-21;18:00:00;20:59:59
28/05/2025;108;A41057;2025-05-28 10:07:33;2025-05-28 11:20:51;Gentileza;10:07:33;1;21-00;21:00:00;23:59:59
28/05/2025;108;A41057;2025-05-28 11:23:05;2025-05-28 12:38:54;Gentileza;11:23:05;1;00-03;00:00:00;02:59:59
28/05/2025;108;A41057;2025-05-28 11:23:05;2025-05-28 12:38:54;Gentileza;11:23:05;1;03-06;03:00:00;05:59:59
28/05/2025;108;A41057;2025-05-28 11:23:05;2025-05-28 12:38:54;Gentileza;11:23:05;1;06-09;06:00:00;08:59:59
28/05/2025;108;A41057;2025-05-28 11:23:05;2025-05-28 12:38:54;Gentileza;11:23:05;1;09-12;09:00:00;11:59:59
28/05/2025;108;A41057;2025-05-28 11:23:05;2025-05-28 12:38:54;Gentileza;11:23:05;1;12-15;12:00:00;14:59:59
28/05/2025;108;A41057;2025-05-28 11:23:05;2025-05-28 12:38:54;Gentileza;11:23:05;1;15-18;15:00:00;17:59:59
28/05/2025;108;A41057;2025-05-28 11:23:05;2025-05-28 12:38:54;Gentileza;11:23:05;1;18-21;18:00:00;20:59:59
28/05/2025;108;A41057;2025-05-28 11:23:05;2025-05-28 12:38:54;Gentileza;11:23:05;1;21-00;21:00:00;23:59:59
28/05/2025;108;A41126;2025-05-28 06:56:03;2025-05-28 08:00:35;Gentileza;06:56:03;1;00-03;00:00:00;02:59:59
28/05/2025;108;A41126;2025-05-28 06:56:03;2025-05-28 08:00:35;Gentileza;06:56:03;1;03-06;03:00:00;05:59:59
28/05/2025;108;A41126;2025-05-28 06:56:03;2025-05-28 08:00:35;Gentileza;06:56:03;1;06-09;06:00:00;08:59:59
28/05/2025;108;A41126;2025-05-28 06:56:03;2025-05-28 08:00:35;Gentileza;06:56:03;1;09-12;09:00:00;11:59:59
28/05/2025;108;A41126;2025-05-28 06:56:03;2025-05-28 08:00:35;Gentileza;06:56:03;1;12-15;12:00:00;14:59:59
28/05/2025;108;A41126;2025-05-28 06:56:03;2025-05-28 08:00:35;Gentileza;06:56:03;1;15-18;15:00:00;17:59:59
28/05/2025;108;A41126;2025-05-28 06:56:03;2025-05-28 08:00:35;Gentileza;06:56:03;1;18-21;18:00:00;20:59:59
28/05/2025;108;A41126;2025-05-28 06:56:03;2025-05-28 08:00:35;Gentileza;06:56:03;1;21-00;21:00:00;23:59:59
28/05/2025;108;A41126;2025-05-28 08:03:20;2025-05-28 09:09:40;Gentileza;08:03:20;1;00-03;00:00:00;02:59:59
28/05/2025;108;A41126;2025-05-28 08:03:20;2025-05-28 09:09:40;Gentileza;08:03:20;1;03-06;03:00:00;05:59:59
28/05/2025;108;A41126;2025-05-28 08:03:20;2025-05-28 09:09:40;Gentileza;08:03:20;1;06-09;06:00:00;08:59:59
28/05/2025;108;A41126;2025-05-28 08:03:20;2025-05-28 09:09:40;Gentileza;08:03:20;1;09-12;09:00:00;11:59:59
28/05/2025;108;A41126;2025-05-28 08:03:20;2025-05-28 09:09:40;Gentileza;08:03:20;1;12-15;12:00:00;14:59:59
28/05/2025;108;A41126;2025-05-28 08:03:20;2025-05-28 09:09:40;Gentileza;08:03:20;1;15-18;15:00:00;17:59:59
28/05/2025;108;A41126;2025-05-28 08:03:20;2025-05-28 09:09:40;Gentileza;08:03:20;1;18-21;18:00:00;20:59:59
28/05/2025;108;A41126;2025-05-28 08:03:20;2025-05-28 09:09:40;Gentileza;08:03:20;1;21-00;21:00:00;23:59:59
28/05/2025;108;A41126;2025-05-28 09:29:21;2025-05-28 10:58:02;Gentileza;09:29:21;1;00-03;00:00:00;02:59:59
28/05/2025;108;A41126;2025-05-28 09:29:21;2025-05-28 10:58:02;Gentileza;09:29:21;1;03-06;03:00:00;05:59:59
28/05/2025;108;A41126;2025-05-28 09:29:21;2025-05-28 10:58:02;Gentileza;09:29:21;1;06-09;06:00:00;08:59:59
28/05/2025;108;A41126;2025-05-28 09:29:21;2025-05-28 10:58:02;Gentileza;09:29:21;1;09-12;09:00:00;11:59:59
28/05/2025;108;A41126;2025-05-28 09:29:21;2025-05-28 10:58:02;Gentileza;09:29:21;1;12-15;12:00:00;14:59:59
28/05/2025;108;A41126;2025-05-28 09:29:21;2025-05-28 10:58:02;Gentileza;09:29:21;1;15-18;15:00:00;17:59:59
28/05/2025;108;A41126;2025-05-28 09:29:21;2025-05-28 10:58:02;Gentileza;09:29:21;1;18-21;18:00:00;20:59:59
28/05/2025;108;A41126;2025-05-28 09:29:21;2025-05-28 10:58:02;Gentileza;09:29:21;1;21-00;21:00:00;23:59:59
